Item,Address,Latitude,Longitude
25,"8738 RAINIER AVE S, SEATTLE, WA 98118, USA",47.5241981,-122.2696959
26,"13701 NE 171ST ST, WOODINVILLE, WA 98072, USA",47.7506051,-122.1560165
27,"2120 6TH AVE, SEATTLE, WA 98121, USA",47.6158005,-122.3403323
28,"8315 S 212TH ST, Kent, WA 98032, USA",47.4121248,-122.2291108
29,"2701 E CHERRY ST, SEATTLE, WA 98122, USA",47.6077573,-122.2975349
30,"11851 GLENDALE WAY S, SEATTLE, WA 98168, USA",,
31,"12506 LAKE CITY WAY NE, SEATTLE, WA 98125, USA",47.7195575,-122.294775
32,"2237 2ND AVE, SEATTLE, WA 98121, USA",47.613843,-122.34564
33,"1525 13TH AVE, kitchen 102, Seattle, WA 98122, USA",,
34,"12702 RENTON AVE S, SEATTLE, WA 98178, USA",47.4901512,-122.2379021
35,"14611 1ST AVE S, BURIEN, WA 98168, USA",47.4717523,-122.3343191
36,"1908 3RD AVE, Seattle, WA 98101, USA",47.6120244,-122.3399314
37,"22406 PACIFIC HWY S, DES MOINES, WA 98198, USA",47.4003321,-122.2968019
38,"1800 NE 44TH ST, 100, Renton, WA 98056, USA",,
39,"14525 148th AVE NE, 112, Woodinville, WA 98072, USA",,
40,"2323 N 45TH ST, SEATTLE, WA 98103, USA",47.6612651,-122.330356
41,"2121 TERRY AVE, #104, SEATTLE, WA 98121, USA",,
42,"1718 N 45TH ST, Seattle, WA 98103, USA",47.6615191,-122.3367749
43,"1913 N 45TH ST, Seattle, WA 98103, USA",47.6612815,-122.3344363
44,"4300 LEARY WAY NW, Seattle, WA 98107, USA",47.6591053,-122.3645009
45,"311 NE 103rd ST, SEATTLE, WA 98125, USA",47.7029915,-122.3250769
46,"10705 SE CARR RD, Renton, WA 98055, USA",47.4442763,-122.1979318
47,"1502 QUEEN ANNE AVE N, Seattle, WA 98109, USA",47.6325273,-122.356675
48,"10146 MAIN ST, BELLEVUE, WA 98004, USA",47.6102672,-122.204395
49,"2201 N 56TH ST, SEATTLE, WA 98103, USA",47.6686092,-122.3326924
50,"663 S WELLER ST, SEATTLE, WA 98104, USA",47.5974028,-122.3244966
51,"5700 M L KING JR WAY S, SEATTLE, WA 98118, USA",,
52,"4710 UNIVERSITY WAY NE, SEATTLE, WA 98105, USA",47.6633636,-122.3126504
53,"11657 DES MOINES MEMORIAL DR S, SEATTLE, WA 98168, USA",,
54,"17801 INTERNATIONAL BLVD, BC-01, SEATAC, WA 98158, USA",,
55,"1607 Queen Anne AVE N, Seattle, WA 98109, USA",47.6338944,-122.3574338
56,"34041 MILITARY RD S, AUBURN, WA 98001, USA",47.2959719,-122.2740175
57,"1600 SW HOLDEN ST, Seattle, WA 98106, USA",47.5340103,-122.3554088
58,"2904 S KENT DES MOINES RD, DES MOINES, WA 98198, USA",47.3953219,-122.296612
59,"3120 S 176TH ST, SEATTLE, WA 98188, USA",47.8391737,-122.3017624
60,"5900 PHINNEY AVE N, Seattle, WA 98103, USA",47.6720351,-122.3539296
61,"6111 24TH AVE NW, SEATTLE, WA 98107, USA",47.6735518,-122.3880933
62,"103 15TH AVE E, Seattle, WA 98112, USA",47.6186766,-122.3131867
63,"4812 ERSKINE WAY SW, SEATTLE, WA 98116, USA",47.5588188,-122.3871369
64,"3939 STONE WAY N, Seattle, WA 98103, USA",47.655088,-122.3429182
65,"7314 AURORA AVE N, Seattle, WA 98103, USA",47.6826094,-122.3440187
66,"21454 PACIFIC HWY S, Seattle, WA 98198, USA",,
67,"711 WASHINGTON AVE N, KENT, WA 98032, USA",47.3870482,-122.2480087
68,"1522 E MADISON ST, Seattle, WA 98122, USA",47.6150837,-122.311833
69,"2353 140TH AVE NE, BELLEVUE, WA 98005, USA",47.6311606,-122.154433
70,"13335 100TH AVE NE, Kirkland, WA 98034, USA",47.720411,-122.2083707
71,"1302 8TH ST NE, AUBURN, WA 98002, USA",47.3148628,-122.2132847
72,"12355 15TH AVE NE, Seattle, WA 98125, USA",47.7191041,-122.3132196
73,"14501 JUANITA WOODINVILLE WAY NE, Bothell, WA 98011, USA",47.733194,-122.195209
74,"28719 MILITARY RD S, FEDERAL WAY, WA 98003, USA",47.343741,-122.3019102
75,"2429 HARBOR AVE SW, SEATTLE, WA 98126, USA",47.5813955,-122.3734596
76,"680 STRANDER BLVD, TUKWILA, WA 98188, USA",47.4578334,-122.2446056
77,"2202 AUBURN WAY N, Auburn, WA 98002, USA",47.3267256,-122.2209883
78,"20008 PACIFIC HWY S, SEATTLE, WA 98198, USA",,
73,"14501 JUANITA WOODINVILLE WAY NE, Bothell, WA 98011, USA",47.733192,-122.19521
79,"4020 NE 4th ST, #A, RENTON, WA 98056, USA",,
80,"17615 108TH AVE SE, RENTON, WA 98055, USA",47.444646,-122.1974679
81,"1602 A ST SE, Auburn, WA 98002, USA",47.2938249,-122.2284225
82,"819 VIRGINIA ST, C-1, SEATTLE, WA 98101, USA",,
83,"810 3RD AVE, 820, SEATTLE, WA 98104, USA",,
84,"100 BELLEVUE WAY SE, BELLEVUE, WA 98004, USA",47.6095292,-122.2011035
85,"1105 NE 47th ST, SEATTLE, WA 98105, USA",47.6629954,-122.316088
86,"22422 83RD AVE S, KENT, WA 98032, USA",47.400657,-122.2293133
87,"12400 SE 312TH ST, AUBURN, WA 98092, USA",47.3229935,-122.1757219
88,"2415 GRIFFIN AVE, ENUMCLAW, WA 98022, USA",47.2068835,-122.0005975
89,"10255 SE 240TH ST, KENT, WA 98031, USA",47.3864719,-122.2028349
90,"20727 108TH AVE SE, KENT, WA 98031, USA",47.4162652,-122.1976155
91,"18010 E VALLEY HWY, KENT, WA 98032, USA",47.4407691,-122.2201132
92,"1208 CENTRAL AVE N, KENT, WA 98032, USA",47.3967457,-122.2274989
93,"31980 MILITARY RD S, AUBURN, WA 98001, USA",47.3153158,-122.2832706
94,"1830 MINOR AVE, SEATTLE, WA 98101, USA",47.6176102,-122.3316247
95,"34727 PACIFIC HWY S, FEDERAL WAY, WA 98003, USA",47.2905647,-122.3175357
96,"18012 WEST VALLEY HWY S, KENT, WA 98032, USA",47.3658622,-122.249474
97,"4312 SW ADMIRAL WAY SW, Seattle, WA 98116, USA",,
98,"16506 5TH AVE NE, SHORELINE, WA 98155, USA",47.7489542,-122.323478
99,"9126 ROOSEVELT WAY NE, Seattle, WA 98115, USA",47.6956415,-122.3172262
100,"11505 SE 168TH ST, RENTON, WA 98055, USA",47.4519465,-122.186566
101,"1232 N 185TH ST, SHORELINE, WA 98133, USA",47.7636327,-122.3425759
102,"26007 PACIFIC HWY S, DES MOINES, WA 98198, USA",47.3683896,-122.3046201
103,"16920 15TH AVE NE, SHORELINE, WA 98155, USA",47.7518117,-122.3127327
104,"12848 M L KING JR WAY S, SEATTLE, WA 98178, USA",,
105,"3200 NW 54TH ST, Seattle, WA 98107, USA",47.6677862,-122.3987022
106,"8250 LAKE CITY WAY NE, SEATTLE, WA 98115, USA",47.6889605,-122.3096153
107,"9 NICKERSON ST, Seattle, WA 98109, USA",47.6492094,-122.3572829
108,"8316 164TH AVE NE, REDMOND, WA 98052, USA",47.6769425,-122.1211174
109,"1308 N 30TH ST, Renton, WA 98056, USA",47.5187689,-122.2009188
110,"15 148TH AVE NE, Bellevue, WA 98007, USA",47.6100777,-122.1435884
111,"5040 148TH AVE NE, Redmond, WA 98052, USA",47.6545127,-122.1424597
112,"14340 124TH AVE NE, Kirkland, WA 98034, USA",47.7310548,-122.1748958
113,"13923 NE 175TH ST, Woodinville, WA 98072, USA",47.754008,-122.1532938
114,"362 DENNY WAY, Seattle, WA 98109, USA",47.618745,-122.3494439
115,"1550 NW MARKET ST, SEATTLE, WA 98107, USA",47.669023,-122.3785643
116,"300 N 125TH ST, Seattle, WA 98133, USA",47.7198819,-122.35524
117,"304 N 36TH ST, Seattle, WA 98103, USA",47.6527049,-122.3551766
118,"101 NE 50TH ST, Seattle, WA 98105, USA",47.6645928,-122.3279655
119,"14462 34TH AVE S, Seattle, WA 98168, USA",47.5259588,-122.2893622
120,"9041 DELRIDGE WAY SW, Seattle, WA 98106, USA",47.5217649,-122.3596917
121,"13131 SE 240TH ST, KENT, WA 98031, USA",47.3865123,-122.1659717
122,"14207 TUKWILA INTERNATIONAL BLVD, TUKWILA, WA 98168, USA",47.4757711,-122.2842103
123,"3702 AUBURN WAY N, Auburn, WA 98002, USA",47.3405085,-122.2217618
124,"31006 PACIFIC HWY S, Federal Way, WA 98003, USA",47.3239697,-122.3127297
125,"3801 CALIFORNIA AVE SW, Seattle, WA 98116, USA",47.5699231,-122.3873061
126,"4026 A ST SE, Auburn, WA 98002, USA",47.2722166,-122.2283017
127,"404 SUNSET BLVD N, Renton, WA 98057, USA",47.4886315,-122.1938011
128,"511 S CENTRAL AVE, Kent, WA 98032, USA",47.3774872,-122.2312588
129,"2100 N NORTHGATE WAY, Seattle, WA 98133, USA",47.7090241,-122.3334949
130,"1200 SW 43RD ST, RENTON, WA 98057, USA",47.4415925,-122.2334663
131,"31207 124TH AVE SE, Auburn, WA 98092, USA",47.3223117,-122.1765272
132,"19023 INTERNATIONAL BLVD, TUKWILA, WA 98188, USA",47.4665503,-122.2881936
133,"27232 Maple Valley Black Diamond Rd SE, Maple Valley, WA 98038, USA",47.3582782,-122.0203699
134,"1539 21ST AVE SE, AUBURN, WA 98002, USA",,
135,"32935 1ST AVE S, FEDERAL WAY, WA 98003, USA",47.3080842,-122.3345162
136,"1481 W MEEKER ST, Kent, WA 98032, USA",47.3816114,-122.2531099
137,"104 SW 312TH ST, FEDERAL WAY, WA 98023, USA",47.3228149,-122.3351156
138,"2801 ALASKAN WAY, #105, Seattle, WA 98121, USA",47.6147937,-122.3550746
139,"7401 GREENWOOD AVE N, Seattle, WA 98103, USA",47.6826633,-122.3554886
140,"7108 Beacon AVE S, Seattle, WA 98108, USA",47.5387217,-122.2954153
141,"14257 DES MOINES MEMORIAL DR S, Seattle, WA 98168, USA",,
142,"12807 DES MOINES MEMORIAL DR S, Seattle, WA 98168, USA",,
143,"1111 17TH ST SE, AUBURN, WA 98002, USA",47.2940795,-122.2139824
144,"31509 3RD AVE, 120, BLACK DIAMOND, WA 98010, USA",,
145,"25915 PACIFIC HWY S, DES MOINES, WA 98198, USA",47.3695532,-122.3042098
146,"6600 M L KING JR WAY S, SEATTLE, WA 98118, USA",,
147,"2600 SOUTHCENTER MALL, FC6, TUKWILA, WA 98188, USA",,
148,"24823 PACIFIC HWY S, 101, KENT, WA 98032, USA",,
149,"1412 E UNION ST, SEATTLE, WA 98122, USA",47.6130656,-122.3135826
150,"916 S 3rd ST, RENTON, WA 98057, USA",47.4797705,-122.204959
151,"84 YESLER WAY, SEATTLE, WA 98104, USA",47.6018664,-122.3350847
152,"1341 SOUTHCENTER MALL, #1610, TUKWILA, WA 98188, USA",,
153,"31503 PACIFIC HWY S, FEDERAL WAY, WA 98003, USA",47.3199037,-122.3154476
154,"14701 NE 20TH ST, BELLEVUE, WA 98007, USA",47.6274111,-122.1440156
155,"15009 AURORA AVE N, SHORELINE, WA 98133, USA",47.7367762,-122.3449431
156,"33320 PACIFIC HWY S, Federal Way, WA 98003, USA",47.3022639,-122.3127946
157,"719 NW MARKET ST, Seattle, WA 98107, USA",47.6683388,-122.365676
158,"3861 1ST AVE S, C, SEATTLE, WA 98134, USA",,
159,"901 5TH AVE, 500, Seattle, WA 98164, USA",,
160,"909 SW 152ND ST, BURIEN, WA 98166, USA",47.4666633,-122.3463658
161,"18230 E VALLEY HWY, KENT, WA 98032, USA",47.4384511,-122.2200873
162,"5604 DELRIDGE WAY SW, SEATTLE, WA 98106, USA",47.551771,-122.3628703
163,"5600 DELRIDGE WAY SW, SEATTLE, WA 98106, USA",47.551794,-122.362868
164,"17801 INTERNATIONAL BLVD, C, SEATAC, WA 98158, USA",,
165,"8002 NE BOTHELL WAY, KENMORE, WA 98028, USA",47.7559632,-122.2329602
166,"720 CENTRAL AVE N, KENT, WA 98032, USA",47.3872351,-122.2306749
167,"2034 NW 56TH ST, #150, SEATTLE, WA 98107, USA",,
168,"4225 SW ALASKA ST, SEATTLE, WA 98116, USA",47.5609212,-122.3862425
169,"1418 NW 70TH ST, SEATTLE, WA 98117, USA",47.6796262,-122.3745013
170,"7405 168th AVE NE, #140, REDMOND, WA 98052, USA",47.6701435,-122.1168307
171,"18348 REDMOND WAY, REDMOND, WA 98052, USA",47.6623909,-122.0955807
172,"501 2ND AVE W, 100, SEATTLE, WA 98119, USA",,
173,"800 SENECA ST, 103, SEATTLE, WA 98101, USA",,
174,"1823 TERRY AVE, #102, SEATTLE, WA 98101, USA",,
175,"1433 11TH AVE, SEATTLE, WA 98122, USA",47.6137858,-122.3183611
176,"711 WESTLAKE AVE N, SEATTLE, WA 98109, USA",47.6260615,-122.3391062
177,"2525 6TH AVE, SEATTLE, WA 98121, USA",47.6183709,-122.3453892
178,"5240 UNIVERSITY WAY NE, D, SEATTLE, WA 98105, USA",47.6678482,-122.3128098
179,"8810 152ND ST NE, REDMOND, WA 98052, USA",,
180,"667 S KING ST, SEATTLE, WA 98104, USA",47.5982421,-122.3242722
181,"419 6TH AVE S, SEATTLE, WA 98104, USA",47.5985406,-122.3265321
182,"818 E PIKE ST, SEATTLE, WA 98122, USA",47.6142084,-122.3210992
183,"305 A ST SE, AUBURN, WA 98002, USA",47.3045888,-122.2291067
184,"1740 1st AVE S, A, SEATTLE, WA 98134, USA",,
185,"3923 AIRPORT WAY S, SEATTLE, WA 98108, USA",47.5682184,-122.3229608
186,"6902 RAINIER AVE S, SEATTLE, WA 98118, USA",47.5405602,-122.2711928
187,"9452 35TH AVE SW, Seattle, WA 98126, USA",47.5177149,-122.3763997
188,"1404 A ST SE, AUBURN, WA 98002, USA",47.2957279,-122.2286158
189,"6901 MARTIN LUTHER KING JR WAY S, A, Seattle, WA 98118, USA",47.5405546,-122.2831658
190,"12932 SE KENT KANGLEY RD, KENT, WA 98030, USA",47.3600787,-122.16764
191,"14401 GREENWOOD AVE N, SEATTLE, WA 98133, USA",47.7333351,-122.3559855
192,"10406 GREENWOOD AVE N, SEATTLE, WA 98133, USA",47.7045123,-122.3553243
193,"12343 LAKE CITY WAY NE, Seattle, WA 98125, USA",47.7186757,-122.29588
194,"9730 NE 119TH WAY, KIRKLAND, WA 98034, USA",47.7070245,-122.2117774
195,"5463 LEARY AVE NW, SEATTLE, WA 98107, USA",47.6681849,-122.384243
196,"22406 PACIFIC HWY S, 104, DES MOINES, WA 98198, USA",,
197,"7726 CENTER BLVD, #135, SNOQUALMIE, WA 98065, USA",,
198,"1802 BELLEVUE AVE, SEATTLE, WA 98122, USA",47.6179196,-122.3266027
199,"116 SW 148TH ST, D-190, BURIEN, WA 98166, USA",,
200,"4309 S HENDERSON ST, SEATTLE, WA 98118, USA",47.5229353,-122.2788686
201,"2402 A ST SE, Auburn, WA 98002, USA",47.287199,-122.228526
202,"4515 15TH AVE S, SEATTLE, WA 98108, USA",47.5630348,-122.3138815
203,"3218 RAINIER AVE S, SEATTLE, WA 98144, USA",47.5745026,-122.294613
204,"15311 33RD AVE S, 141, SEATAC, WA 98188, USA",,
205,"12333 Lake City WAY NE, Seattle, WA 98125, USA",47.7183757,-122.2960687
206,"14855 TUKWILA INTERNATIONAL BLVD S, TUKWILA, WA 98168, USA",,
207,"6546 CALIFORNIA AVE SW, Seattle, WA 98136, USA",47.5432986,-122.386848
208,"3003 CALIFORNIA AVE SW, Seattle, WA 98116, USA",47.5766807,-122.3870246
209,"5100 32ND ST SE, AUBURN, WA 98092, USA",47.2793765,-122.1634489
210,"22309 7TH AVE S, DES MOINES, WA 98198, USA",47.4014753,-122.326366
211,"721 M ST NE, #103, AUBURN, WA 98002, USA",,
212,"8552 GREENWOOD AVE N, SEATTLE, WA 98103, USA",47.6914777,-122.355109
213,"11801 NE 160TH ST, STE A, Bothell, WA 98011, USA",47.7434001,-122.1837092
214,"2225 4TH AVE, C, Seattle, WA 98121, USA",,
215,"117 YALE AVE N, SEATTLE, WA 98109, USA",47.6191192,-122.3307912
216,"4026 148TH AVE NE, REDMOND, WA 98052, USA",47.6462147,-122.1427549
217,"6016 NE BOTHELL WAY, KENMORE, WA 98028, USA",47.7583752,-122.2634995
218,"625 W JAMES ST, KENT, WA 98032, USA",47.38766,-122.2400038
219,"625 W JAMES ST, Kent, WA 98032, USA",47.38766,-122.2400038
220,"13055 LAKE CITY WAY NE, SEATTLE, WA 98125, USA",47.7245353,-122.2930858
221,"2423 1ST AVE, SEATTLE, WA 98121, USA",47.6143812,-122.3488117
222,"6621 211TH ST, KENT, WA 98032, USA",47.413067,-122.2512089
223,"11747 124TH AVE NE, Kirkland, WA 98034, USA",47.705693,-122.1762753
224,"16918 25TH AVE NE, LAKE FOREST PARK, WA 98155, USA",47.7516352,-122.3025138
225,"500 CENTRAL WAY, KIRKLAND, WA 98033, USA",47.6791432,-122.1985483
226,"15665 NELSON PL, TUKWILA, WA 98188, USA",47.4620815,-122.2437896
227,"25626 102nd PL SE, KENT, WA 98030, USA",47.3719479,-122.2039939
228,"5910 PHINNEY AVE N, Seattle, WA 98103, USA",47.6721718,-122.3541824
229,"13590 NE VILLAGE SQUARE DR, 1040, WOODINVILLE, WA 98072, USA",,
230,"6110 28TH AVE NW, SEATTLE, WA 98107, USA",47.6734665,-122.3915569
231,"11065 8TH AVE S, Seattle, WA 98168, USA",47.5032596,-122.3236374
232,"1635 SW 304TH ST, Federal Way, WA 98003, USA",47.3286363,-122.3568945
233,"621 37TH ST NW, Auburn, WA 98001, USA",47.3408801,-122.2378759
234,"2123 E UNION ST, SEATTLE, WA 98122, USA",47.6127907,-122.3038368
235,"1500A Pike Place, Seattle, WA 98101, USA",47.6090614,-122.341188
236,"4100 SW ADMIRAL WAY, SEATTLE, WA 98116, USA",47.5814746,-122.3842733
237,"2347 CALIFORNIA AVE SW, Seattle, WA 98116, USA",47.5815431,-122.387013
238,"2343 CALIFORNIA AVE, SEATTLE, WA 98116, USA",47.5819689,-122.3869421
239,"2306 CALIFORNIA AVE SW, Seattle, WA 98116, USA",47.5826988,-122.3862243
240,"10515 GREENWOOD AVE N, SEATTLE, WA 98133, USA",47.705633,-122.355731
241,"5520 108TH AVE NE, KIRKLAND, WA 98033, USA",47.6577562,-122.1917099
242,"2003 WESTERN AVE, C, SEATTLE, WA 98121, USA",47.6106494,-122.3447373
243,"11411 139TH PL NE, Redmond, WA 98052, USA",47.7032844,-122.1566384
244,"2021 7TH AVE, SEATTLE, WA 98121, USA",47.6149491,-122.3383874
245,"7755 E MARGINAL WAY, SEATTLE, WA 98108, USA",47.5319629,-122.3158854
246,"900 LOGAN AVE N, RENTON, WA 98057, USA",47.4934391,-122.2072252
247,"100 MERCER ST, SEATTLE, WA 98109, USA",47.6247689,-122.3550584
248,"2320 42ND AVE SW, SEATTLE, WA 98116, USA",47.5821383,-122.3847864
249,"5250 40TH AVE NE, SEATTLE, WA 98105, USA",47.6681887,-122.2836182
250,"301 228TH AVE SE, SAMMAMISH, WA 98074, USA",47.6064264,-122.0355898
251,"2755 77TH AVE SE, MERCER ISLAND, WA 98040, USA",47.5852667,-122.2358743
252,"8532 15TH AVE NW, SEATTLE, WA 98117, USA",47.6917957,-122.3761102
253,"10611 NE 68th ST, KIRKLAND, WA 98033, USA",47.6658576,-122.1972297
254,"15000 NE 24TH ST, REDMOND, WA 98052, USA",47.6324859,-122.1401516
255,"3830 34TH AVE W, SEATTLE, WA 98199, USA",47.655287,-122.4004457
256,"17801 108TH AVE SE, RENTON, WA 98055, USA",47.4429304,-122.199362
257,"33702 21ST AVE SW, Federal Way, WA 98023, USA",47.2979565,-122.3589037
258,"801 AUBURN WAY N, AUBURN, WA 98002, USA",47.3152511,-122.2262805
259,"25250 PACIFIC HWY S, KENT, WA 98032, USA",47.3742327,-122.2980913
260,"2041 148TH AVE NE, BELLEVUE, WA 98007, USA",47.6289306,-122.1447173
261,"14300 1ST AVE S, BURIEN, WA 98168, USA",47.4753251,-122.332298
262,"12221 120TH AVE NE, KIRKLAND, WA 98034, USA",47.7077168,-122.1842004
263,"365 RENTON CENTER WAY SW, RENTON, WA 98057, USA",,
264,"16735 SE 272ND ST, COVINGTON, WA 98042, USA",47.3570379,-122.1181628
265,"6100 E LAKE SAMMAMISH PKWY SE, ISSAQUAH, WA 98029, USA",47.54803,-122.04003
266,"26520 MAPLE VALLEY BLK DIAMOND RD, MAPLE VALLEY, WA 98038, USA",,
267,"26916 MAPLE VALLEY BLK DIAMOND RD SE, MAPLE VALLEY, WA 98038, USA",,
268,"2100 QUEEN ANNE AVE N, SEATTLE, WA 98109, USA",47.637562,-122.356814
269,"152 ROOSEVELT AVE, ENUMCLAW, WA 98022, USA",47.1981605,-121.9799269
270,"101 AUBURN WAY S, AUBURN, WA 98002, USA",47.3062886,-122.2275157
271,"210 WASHINGTON AVE S, KENT, WA 98032, USA",47.3803887,-122.2466416
272,"1423 NW MARKET ST, SEATTLE, WA 98107, USA",47.6683256,-122.3756739
273,"4011 S 164TH ST, SeaTac, WA 98188, USA",47.4556881,-122.2824448
274,"3820 RAINIER AVE S, SEATTLE, WA 98118, USA",47.568114,-122.2887331
275,"460 SW MOUNT SI BLVD, NORTH BEND, WA 98045, USA",47.4875269,-121.7913755
276,"7300 ROOSEVELT WAY NE, SEATTLE, WA 98115, USA",47.6818402,-122.3169374
277,"1410 E JOHN ST, SEATTLE, WA 98112, USA",47.620432,-122.3131575
278,"1207 S 320TH ST, FEDERAL WAY, WA 98003, USA",47.3150814,-122.3173631
279,"200 S 3RD ST, RENTON, WA 98057, USA",47.4800957,-122.2144561
280,"14020 MAIN ST NE, DUVALL, WA 98019, USA",47.7263039,-121.984962
281,"300 BELLEVUE WAY NE, BELLEVUE, WA 98004, USA",47.6130141,-122.200834
282,"300 BELLEVUE WAY, BELLEVUE, WA 98004, USA",47.6131232,-122.2013922
283,"735 NW GILMAN BLVD, ISSAQUAH, WA 98027, USA",47.5414952,-122.048116
284,"138 SW 148TH ST, BURIEN, WA 98166, USA",47.4714257,-122.3366749
285,"9620 28TH AVE SW, SEATTLE, WA 98126, USA",47.5166201,-122.366715
286,"13101 SE KENT KANGLEY RD, KENT, WA 98030, USA",47.3567315,-122.1667755
287,"2201 E MADISON ST, SEATTLE, WA 98112, USA",47.6180059,-122.3036798
288,"10020 NE 137TH ST, KIRKLAND, WA 98034, USA",47.7236368,-122.2063788
289,"2622 CALIFORNIA AVE SW, SEATTLE, WA 98116, USA",47.5799847,-122.3860269
290,"4732 BROOKLYN AVE NE, SEATTLE, WA 98105, USA",47.6642286,-122.313887
291,"1451 HIGHLANDS DR NE, ISSAQUAH, WA 98029, USA",47.5413496,-122.0196304
292,"4300 NE 4TH ST, RENTON, WA 98059, USA",47.4900235,-122.1614531
293,"17171 Bothell WAY NE, Lake Forest, WA 98155, USA",47.7528271,-122.280156
294,"6850 NE BOTHELL WAY, KENMORE, WA 98028, USA",47.7583642,-122.2471602
295,"7340 35TH AVE NE, SEATTLE, WA 98115, USA",47.6825972,-122.2893962
296,"20830 108TH AVE SE, KENT, WA 98031, USA",47.415142,-122.1955804
297,"1645 140TH AVE, BELLEVUE, WA 98005, USA",47.6257713,-122.1550311
298,"17202 15th AVE NE, Shoreline, WA 98155, USA",47.7543852,-122.3127912
299,"17230 140th AVE SE, RENTON, WA 98058, USA",47.4472893,-122.1527464
300,"19150 NE WOODINVILLE DUVALL RD, WOODINVILLE, WA 98077, USA",47.7562034,-122.0818405
301,"630 228TH AVE NE, SAMMAMISH, WA 98074, USA",47.6153623,-122.033514
302,"6911 COAL CREEK PKWY SE, NEWCASTLE, WA 98059, USA",47.5394931,-122.1677599
303,"17023 SE 272ND ST, COVINGTON, WA 98042, USA",47.3564068,-122.115029
304,"1000 E JAMES WAY, SEATTLE, WA 98122, USA",47.6083461,-122.3190043
305,"12318 15TH AVE NE, SEATTLE, WA 98125, USA",47.7180447,-122.3119641
306,"110 CENTRAL WAY, KIRKLAND, WA 98033, USA",47.6765902,-122.2078154
307,"25684 104TH AVE SE, Kent, WA 98030, USA",47.3709213,-122.2011431
308,"10836 E MARGINAL WAY S, TUKWILA, WA 98168, USA",47.5053628,-122.2895326
309,"25636 Pacific Hwy Suite C13, KENT, WA 98032, USA",,
310,"17801 INTERNATIONAL BLVD, ConA, SEATAC, WA 98158, USA",,
311,"4610 MARTIN LUTHER KING JR WAY S, SEATTLE, WA 98108, USA",47.5618124,-122.293619
312,"35109 PACIFIC HWY S, Federal Way, WA 98003, USA",47.2864814,-122.3203795
313,"126 WASHINGTON AVE N, KENT, WA 98032, USA",47.382018,-122.2462288
314,"1048 NE PARK DR, ISSAQUAH, WA 98029, USA",47.5438259,-122.0151297
315,"504 RAMSAY WAY, #107, KENT, WA 98032, USA",47.3851822,-122.2345692
316,"17168 REDMOND WAY, Redmond, WA 98052, USA",47.6711846,-122.1119375
317,"100 REPUBLICAN ST, SEATTLE, WA 98109, USA",47.6233699,-122.3552244
318,"18505 BOTHELL WAY NE, Bothell, WA 98011, USA",47.7620539,-122.2079668
319,"2800 E CHERRY ST, Seattle, WA 98122, USA",47.6081869,-122.2958481
320,"8530 122ND AVE NE, #B2, KIRKLAND, WA 98033, USA",,
321,"1303 NE BOAT ST, SEATTLE, WA 98105, USA",47.65158,-122.3143295
322,"14510 NE 20TH ST, BELLEVUE, WA 98007, USA",47.6294219,-122.1465573
323,"1508 NE 117TH ST, SEATTLE, WA 98125, USA",47.7141176,-122.3120669
324,"1630 DUVALL AVE NE, #G, RENTON, WA 98059, USA",,
325,"95 S Jackson ST, 300, Seattle, WA 98104, USA",,
